eleccion_tipo,seccion_nombre,circuito_nombre,mesa_id,mesa_electores,agrupacion_nombre,votos_tipo,votos_cantidad
GENERAL,Comuna 01,1,28,342,,NULO,0
GENERAL,Comuna 01,1,28,342,,IMPUGNADO,0
GENERAL,Comuna 01,1,28,342,,RECURRIDO,0
GENERAL,Comuna 01,1,28,342,,COMANDO,0
GENERAL,Comuna 01,1,29,340,UNION POR LA PATRIA,POSITIVO,95
GENERAL,Comuna 01,1,29,340,JUNTOS POR EL CAMBIO,POSITIVO,65
GENERAL,Comuna 01,1,29,340,LA LIBERTAD AVANZA,POSITIVO,53
GENERAL,Comuna 01,1,29,340,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,15
GENERAL,Comuna 01,1,29,340,HACEMOS POR NUESTRO PAIS,POSITIVO,11
GENERAL,Comuna 01,1,29,340,,EN BLANCO,5
GENERAL,Comuna 01,1,29,340,,NULO,2
GENERAL,Comuna 01,1,29,340,,IMPUGNADO,0
GENERAL,Comuna 01,1,29,340,,RECURRIDO,0
GENERAL,Comuna 01,1,29,340,,COMANDO,0
GENERAL,Comuna 01,1,30,341,UNION POR LA PATRIA,POSITIVO,103
GENERAL,Comuna 01,1,30,341,JUNTOS POR EL CAMBIO,POSITIVO,76
GENERAL,Comuna 01,1,30,341,LA LIBERTAD AVANZA,POSITIVO,45
GENERAL,Comuna 01,1,30,341,HACEMOS POR NUESTRO PAIS,POSITIVO,10
GENERAL,Comuna 01,1,30,341,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,8
GENERAL,Comuna 01,1,30,341,,EN BLANCO,6
GENERAL,Comuna 01,1,30,341,,NULO,0
GENERAL,Comuna 01,1,30,341,,IMPUGNADO,0
GENERAL,Comuna 01,1,30,341,,RECURRIDO,2
GENERAL,Comuna 01,1,30,341,,COMANDO,1
GENERAL,Comuna 01,2,31,338,UNION POR LA PATRIA,POSITIVO,108
GENERAL,Comuna 01,2,31,338,JUNTOS POR EL CAMBIO,POSITIVO,54
GENERAL,Comuna 01,2,31,338,LA LIBERTAD AVANZA,POSITIVO,43
GENERAL,Comuna 01,2,31,338,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,13
GENERAL,Comuna 01,2,31,338,HACEMOS POR NUESTRO PAIS,POSITIVO,2
GENERAL,Comuna 01,2,31,338,,EN BLANCO,6
GENERAL,Comuna 01,2,31,338,,NULO,0
GENERAL,Comuna 01,2,31,338,,IMPUGNADO,0
GENERAL,Comuna 01,2,31,338,,RECURRIDO,0
